Iteration 338, Abs net weight: 0.061512816697359085
Iteration 339, Abs net weight: 0.0615803487598896
Iteration 340, Abs net weight: 0.06167738139629364
Iteration 341, Abs net weight: 0.0617891289293766
Iteration 342, Abs net weight: 0.06185780093073845
Iteration 343, Abs net weight: 0.06189948320388794
Iteration 344, Abs net weight: 0.061953455209732056
Iteration 345, Abs net weight: 0.06199559569358826
Iteration 346, Abs net weight: 0.062044672667980194
Iteration 347, Abs net weight: 0.06209786236286163
Iteration 348, Abs net weight: 0.062142353504896164
Iteration 349, Abs net weight: 0.0622248500585556
Iteration 350, Abs net weight: 0.062295082956552505
Iteration 351, Abs net weight: 0.062372416257858276
Iteration 352, Abs net weight: 0.062453173100948334
Iteration 353, Abs net weight: 0.0625079795718193
Iteration 354, Abs net weight: 0.06256039440631866
Iteration 355, Abs net weight: 0.06263422220945358
Iteration 356, Abs net weight: 0.06269574910402298
Iteration 357, Abs net weight: 0.06275593489408493
Iteration 358, Abs net weight: 0.06281231343746185
Iteration 359, Abs net weight: 0.06287278980016708
Iteration 360, Abs net weight: 0.0629420056939125
Iteration 361, Abs net weight: 0.06297935545444489
Iteration 362, Abs net weight: 0.06303086876869202
Iteration 363, Abs net weight: 0.06308221817016602
Iteration 364, Abs net weight: 0.06314196437597275
Iteration 365, Abs net weight: 0.06320790201425552
Iteration 366, Abs net weight: 0.06325584650039673
Iteration 367, Abs net weight: 0.0632978230714798
Iteration 368, Abs net weight: 0.06335066258907318
Iteration 369, Abs net weight: 0.06341035664081573
Iteration 370, Abs net weight: 0.06345745921134949
Iteration 371, Abs net weight: 0.06350650638341904
Iteration 372, Abs net weight: 0.06355041265487671
Iteration 373, Abs net weight: 0.0636286661028862
Iteration 374, Abs net weight: 0.06370317935943604
Iteration 375, Abs net weight: 0.06375016272068024
Iteration 376, Abs net weight: 0.06380399316549301
Iteration 377, Abs net weight: 0.0638694018125534
Iteration 378, Abs net weight: 0.06392772495746613
Iteration 379, Abs net weight: 0.06396722793579102
Iteration 380, Abs net weight: 0.06402237713336945
Iteration 381, Abs net weight: 0.06407057493925095
Iteration 382, Abs net weight: 0.06412193924188614
Iteration 383, Abs net weight: 0.0641738623380661
Iteration 384, Abs net weight: 0.06424430757761002
Iteration 385, Abs net weight: 0.06430570036172867
Iteration 386, Abs net weight: 0.06437403708696365
Iteration 387, Abs net weight: 0.0644751712679863
Iteration 388, Abs net weight: 0.06454668194055557
Iteration 389, Abs net weight: 0.06461486220359802
Iteration 390, Abs net weight: 0.06468446552753448
Iteration 391, Abs net weight: 0.06475263088941574
Iteration 392, Abs net weight: 0.06483209133148193
Iteration 393, Abs net weight: 0.06490711122751236
Iteration 394, Abs net weight: 0.06498166173696518
Iteration 395, Abs net weight: 0.06505682319402695
Iteration 396, Abs net weight: 0.06512779742479324
Iteration 397, Abs net weight: 0.06521239876747131
Iteration 398, Abs net weight: 0.06531404703855515
Iteration 399, Abs net weight: 0.06538531184196472
Iteration 400, Abs net weight: 0.0654778704047203
Iteration 401, Abs net weight: 0.0655854195356369
Iteration 402, Abs net weight: 0.06567645072937012
Iteration 403, Abs net weight: 0.06577681750059128
Iteration 404, Abs net weight: 0.06586682796478271
Iteration 405, Abs net weight: 0.06594417989253998
Iteration 406, Abs net weight: 0.06601106375455856
Iteration 407, Abs net weight: 0.06607554852962494
Iteration 408, Abs net weight: 0.06614985316991806
Iteration 409, Abs net weight: 0.0662117749452591
Iteration 410, Abs net weight: 0.06627696752548218
Iteration 411, Abs net weight: 0.06635073572397232
Iteration 412, Abs net weight: 0.066431924700737
Iteration 413, Abs net weight: 0.066489577293396
Iteration 414, Abs net weight: 0.06652500480413437
Iteration 415, Abs net weight: 0.06659559905529022
Iteration 416, Abs net weight: 0.0666714534163475
Iteration 417, Abs net weight: 0.06674596667289734
Iteration 418, Abs net weight: 0.0668061375617981
Iteration 419, Abs net weight: 0.06688307225704193
Iteration 420, Abs net weight: 0.06696812808513641
Iteration 421, Abs net weight: 0.06704985350370407
Iteration 422, Abs net weight: 0.06713352352380753
Iteration 423, Abs net weight: 0.06720562279224396
Iteration 424, Abs net weight: 0.06729525327682495
Iteration 425, Abs net weight: 0.06737762689590454
Iteration 426, Abs net weight: 0.06743043661117554
Iteration 427, Abs net weight: 0.06751623004674911
Iteration 428, Abs net weight: 0.06756066530942917
Iteration 429, Abs net weight: 0.06763303279876709
Iteration 430, Abs net weight: 0.06769312918186188
Iteration 431, Abs net weight: 0.06777715682983398
Iteration 432, Abs net weight: 0.06784213334321976
Iteration 433, Abs net weight: 0.06790467351675034
Iteration 434, Abs net weight: 0.0679771676659584
Iteration 435, Abs net weight: 0.06804449111223221
Iteration 436, Abs net weight: 0.06812337785959244
Iteration 437, Abs net weight: 0.06819048523902893
Iteration 438, Abs net weight: 0.06824682652950287
Iteration 439, Abs net weight: 0.06830432265996933
Iteration 440, Abs net weight: 0.06834973394870758
Iteration 441, Abs net weight: 0.0684313178062439
Iteration 442, Abs net weight: 0.06849410384893417
Iteration 443, Abs net weight: 0.06856616586446762
Iteration 444, Abs net weight: 0.06863607466220856
Iteration 445, Abs net weight: 0.0686984732747078
Iteration 446, Abs net weight: 0.06877873092889786
Iteration 447, Abs net weight: 0.06886804103851318
Iteration 448, Abs net weight: 0.06894972175359726
Iteration 449, Abs net weight: 0.06903700530529022
Iteration 450, Abs net weight: 0.06912784278392792
Iteration 451, Abs net weight: 0.06920930743217468
Iteration 452, Abs net weight: 0.06928866356611252
Iteration 453, Abs net weight: 0.06937447190284729
Iteration 454, Abs net weight: 0.06945158541202545
Iteration 455, Abs net weight: 0.0695578008890152
Iteration 456, Abs net weight: 0.06964723020792007
Iteration 457, Abs net weight: 0.06971767544746399
Iteration 458, Abs net weight: 0.06979101896286011
Iteration 459, Abs net weight: 0.06987887620925903
Iteration 460, Abs net weight: 0.06995290517807007
Iteration 461, Abs net weight: 0.07004265487194061
Iteration 462, Abs net weight: 0.07012730091810226
Iteration 463, Abs net weight: 0.07021134346723557
Iteration 464, Abs net weight: 0.07029720395803452
Iteration 465, Abs net weight: 0.07038524746894836
Iteration 466, Abs net weight: 0.07046408206224442
Iteration 467, Abs net weight: 0.07055582106113434
Iteration 468, Abs net weight: 0.07062867283821106
Iteration 469, Abs net weight: 0.07074379175901413
Iteration 470, Abs net weight: 0.0708693116903305
Iteration 471, Abs net weight: 0.07096905261278152
Iteration 472, Abs net weight: 0.07108400762081146
Iteration 473, Abs net weight: 0.07116596400737762
Iteration 474, Abs net weight: 0.07125122100114822
Iteration 475, Abs net weight: 0.0713401809334755
Iteration 476, Abs net weight: 0.07144256681203842
Iteration 477, Abs net weight: 0.07152683287858963
Iteration 478, Abs net weight: 0.07161282002925873
Iteration 479, Abs net weight: 0.07168522477149963
Iteration 480, Abs net weight: 0.07177253812551498
Iteration 481, Abs net weight: 0.07182708382606506
Iteration 482, Abs net weight: 0.07188548892736435
Iteration 483, Abs net weight: 0.07195162773132324
Iteration 484, Abs net weight: 0.07202921062707901
Iteration 485, Abs net weight: 0.07209303230047226
Iteration 486, Abs net weight: 0.07214432209730148
Iteration 487, Abs net weight: 0.07221872359514236
Iteration 488, Abs net weight: 0.0722983330488205
Iteration 489, Abs net weight: 0.07238956540822983
Iteration 490, Abs net weight: 0.07248666137456894
Iteration 491, Abs net weight: 0.07256030291318893
Iteration 492, Abs net weight: 0.07264460623264313
Iteration 493, Abs net weight: 0.07271602749824524
Iteration 494, Abs net weight: 0.07280657440423965
Iteration 495, Abs net weight: 0.07288588583469391
Iteration 496, Abs net weight: 0.07294128835201263
Iteration 497, Abs net weight: 0.07302553206682205
Iteration 498, Abs net weight: 0.07309531420469284
Iteration 499, Abs net weight: 0.07315690070390701
Iteration 500, Abs net weight: 0.0732140988111496
Iteration 501, Abs net weight: 0.07327928394079208
Iteration 502, Abs net weight: 0.07334589958190918
Iteration 503, Abs net weight: 0.07344139367341995
Iteration 504, Abs net weight: 0.07354127615690231
Iteration 505, Abs net weight: 0.0736285150051117
Iteration 506, Abs net weight: 0.07374239712953568
Iteration 507, Abs net weight: 0.07383175194263458
Iteration 508, Abs net weight: 0.07391875982284546
Iteration 509, Abs net weight: 0.07400301843881607
Iteration 510, Abs net weight: 0.07407824695110321
Iteration 511, Abs net weight: 0.07414470613002777
Iteration 512, Abs net weight: 0.07422766089439392
Iteration 513, Abs net weight: 0.07431455701589584
Iteration 514, Abs net weight: 0.07438267767429352
Iteration 515, Abs net weight: 0.07446330040693283
Iteration 516, Abs net weight: 0.07452002167701721
Iteration 517, Abs net weight: 0.07457831501960754
Iteration 518, Abs net weight: 0.07464069128036499
Iteration 519, Abs net weight: 0.07473474740982056
Iteration 520, Abs net weight: 0.0748046487569809
Iteration 521, Abs net weight: 0.07488369941711426
Iteration 522, Abs net weight: 0.07496640086174011
Iteration 523, Abs net weight: 0.07503010332584381
Iteration 524, Abs net weight: 0.07507766783237457
Iteration 525, Abs net weight: 0.07513417303562164
Iteration 526, Abs net weight: 0.07519728690385818
Iteration 527, Abs net weight: 0.07526873052120209
Iteration 528, Abs net weight: 0.0753662958741188
Iteration 529, Abs net weight: 0.07545708864927292
Iteration 530, Abs net weight: 0.07549618184566498
Iteration 531, Abs net weight: 0.07556334137916565
Iteration 532, Abs net weight: 0.07562989741563797
Iteration 533, Abs net weight: 0.07569926977157593
Iteration 534, Abs net weight: 0.07577263563871384
Iteration 535, Abs net weight: 0.07582636922597885
Iteration 536, Abs net weight: 0.07587015628814697
Iteration 537, Abs net weight: 0.07591582089662552
Iteration 538, Abs net weight: 0.07597291469573975
Iteration 539, Abs net weight: 0.07603594660758972
Iteration 540, Abs net weight: 0.07610172033309937
Iteration 541, Abs net weight: 0.0761488750576973
Iteration 542, Abs net weight: 0.07620806246995926
Iteration 543, Abs net weight: 0.0762767642736435
Iteration 544, Abs net weight: 0.07633326947689056
Iteration 545, Abs net weight: 0.07639297842979431
Iteration 546, Abs net weight: 0.07645655423402786
Iteration 547, Abs net weight: 0.07653574645519257
Iteration 548, Abs net weight: 0.0765991061925888
Iteration 549, Abs net weight: 0.07666690647602081
Iteration 550, Abs net weight: 0.07674027234315872
Iteration 551, Abs net weight: 0.0768134668469429
Iteration 552, Abs net weight: 0.07690072059631348
Iteration 553, Abs net weight: 0.07699549198150635
Iteration 554, Abs net weight: 0.07708228379487991
Iteration 555, Abs net weight: 0.07715792953968048
Iteration 556, Abs net weight: 0.07722067832946777
Iteration 557, Abs net weight: 0.07729235291481018
Iteration 558, Abs net weight: 0.07734362781047821
Iteration 559, Abs net weight: 0.07740521430969238
Iteration 560, Abs net weight: 0.07747603207826614
Iteration 561, Abs net weight: 0.07752681523561478
Iteration 562, Abs net weight: 0.07756632566452026
Iteration 563, Abs net weight: 0.07763481140136719
Iteration 564, Abs net weight: 0.07769712805747986
Iteration 565, Abs net weight: 0.07776087522506714
Iteration 566, Abs net weight: 0.0778578668832779
Iteration 567, Abs net weight: 0.07791581749916077
Iteration 568, Abs net weight: 0.0779825747013092
Iteration 569, Abs net weight: 0.0780680701136589
Iteration 570, Abs net weight: 0.07816489785909653
Iteration 571, Abs net weight: 0.07828661054372787
Iteration 572, Abs net weight: 0.07838193327188492
Iteration 573, Abs net weight: 0.07846327126026154
Iteration 574, Abs net weight: 0.07855629175901413
Iteration 575, Abs net weight: 0.07866111397743225
Iteration 576, Abs net weight: 0.078743115067482
Iteration 577, Abs net weight: 0.078823521733284
Iteration 578, Abs net weight: 0.07893089950084686
Iteration 579, Abs net weight: 0.07902664691209793
Iteration 580, Abs net weight: 0.07912420481443405
Iteration 581, Abs net weight: 0.07919739186763763
Iteration 582, Abs net weight: 0.07930149137973785
